Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chrY	10322618	10324589	-	Gm20834	10323434	protein_coding
chrY	11197024	11199374	-	Gm20828	11199374	protein_coding
chrY	11197024	11199374	-	Gm20828	11197848	protein_coding
chrY	15882421	15884771	-	Gm20822	15884771	protein_coding
chrY	15882421	15884771	-	Gm20822	15883245	protein_coding
chrY	21164570	21166905	+	Gm20909	21164570	protein_coding
chrY	21164570	21166905	+	Gm20909	21166083	protein_coding
chrY	21241575	21243910	+	Gm20865	21241575	protein_coding
chrY	21241575	21243910	+	Gm20865	21242966	protein_coding
chrY	725128	797409	-	Zfy1	797405	protein_coding
chrY	725128	797409	-	Zfy1	797409	protein_coding
chrY	818649	844224	+	Uba1y	818649	protein_coding
chrY	818649	844224	+	Uba1y	818713	protein_coding
chrY	897788	956786	+	Kdm5d	897788	protein_coding
chrY	897788	956786	+	Kdm5d	897790	protein_coding
chrY	1010543	1028847	+	Eif2s3y	1010543	protein_coding
chrY	1096861	1245759	-	Uty	1245691	protein_coding
chrY	1096861	1245759	-	Uty	1245718	protein_coding
chrY	1096861	1245759	-	Uty	1245724	protein_coding
chrY	1096861	1245759	-	Uty	1245759	protein_coding
chrY	1096861	1245759	-	Uty	1245702	protein_coding
chrY	1260771	1286629	-	Ddx3y	1286629	protein_coding
chrY	1298961	1459782	-	Usp9y	1459782	protein_coding
chrY	2106015	2170409	-	Zfy2	2150346	protein_coding
chrY	2106015	2170409	-	Zfy2	2170409	protein_coding
chrY	2599099	2599434	+	H2al2c	2599099	protein_coding
chrY	2662471	2663658	-	Sry	2663658	protein_coding
chrY	2720339	2720674	-	H2al2b	2720674	protein_coding
chrY	2785165	2796205	-	Rbmyf1	2796205	protein_coding
chrY	2830680	2841854	+	Rbmy	2830680	protein_coding
chrY	2830680	2841854	+	Rbmy	2830699	protein_coding
chrY	2830699	2873492	+	Rbmyf2	2862139	protein_coding
chrY	2830699	2873492	+	Rbmyf2	2862158	protein_coding
chrY	2830699	2873492	+	Rbmyf2	2830699	protein_coding
chrY	2900989	2912206	+	Rbmyf3	2900989	protein_coding
chrY	2900989	2912206	+	Rbmyf3	2904133	protein_coding
chrY	17400761	17402715	+	Rbm31y	17400761	protein_coding
chrY	17874741	17877179	+	Gm20772	17874741	protein_coding
chrY	17874741	17967603	+	Gm20831	17874741	protein_coding
chrY	17874741	17967603	+	Gm20831	17965160	protein_coding
chrY	18089116	18091556	+	Ssty1	18089116	protein_coding
chrY	18089116	18091556	+	Ssty1	18090734	protein_coding
chrY	17093873	17095892	+	Gm20877	17093873	protein_coding
chrY	17093873	17095892	+	Gm20877	17093879	protein_coding
chrY	13042891	13045326	+	Gm20807	13042891	protein_coding
chrY	13252391	13254834	+	Gm21440	13252391	protein_coding
chrY	13252442	13378804	+	Gm21454	13252442	protein_coding
chrY	13252442	13378804	+	Gm21454	13376362	protein_coding
chrY	58474460	58490695	+	Gm57885	58474460	protein_coding
chrY	58043688	58057625	-	Gm57894	58057625	protein_coding
chrY	58412359	58426299	+	Gm57895	58412359	protein_coding
chrY	57195716	57221890	+	Sly	57195716	protein_coding
chrY	57195716	57221890	+	Sly	57195719	protein_coding
chrY	57195716	57221890	+	Sly	57195734	protein_coding
chrY	57539940	57542272	-	Gm21943	57542272	protein_coding
chrY	57714225	57740460	+	Gm28961	57714225	protein_coding
chrY	70282575	70284911	-	Gm21118	70284911	protein_coding
chrY	70282575	70284911	-	Gm21118	70283393	protein_coding
chrY	70349196	70349891	-	Gm29424	70349891	protein_coding
chrY	12274635	12306702	+	Gm29554	12275343	protein_coding
chrY	12381981	12384008	+	Gm20812	12381981	protein_coding
chrY	12381981	12384008	+	Gm20812	12383184	protein_coding
chrY	52776576	52802833	+	Gm21258	52776576	protein_coding
chrY	52776576	52802833	+	Gm21258	52776619	protein_coding
chrY	55210299	55236450	+	Gm20931	55210299	protein_coding
chrY	79160058	79162391	-	Gm20917	79162391	protein_coding
chrY	79160058	79162391	-	Gm20917	79161056	protein_coding
chrY	79330791	79356976	+	Gm20916	79330791	protein_coding
chrY	79330791	79356976	+	Gm20916	79330834	protein_coding
chrY	35061029	35087182	-	Gm20855	35087178	protein_coding
chrY	35061029	35087182	-	Gm20855	35087182	protein_coding
chrY	35850673	35876871	-	Gm20896	35876871	protein_coding
chrY	71480718	71506901	+	Gm20869	71480718	protein_coding
chrY	84573841	84576176	-	Gm21394	84576176	protein_coding
chrY	84573841	84576176	-	Gm21394	84574663	protein_coding
chrY	84757903	84784171	+	Gm21409	84757903	protein_coding
chrY	84757903	84784171	+	Gm21409	84757942	protein_coding
chrY	84757903	84784171	+	Gm21409	84758007	protein_coding
chrY	51848699	51874879	+	Gm20920	51848699	protein_coding
chrY	51848699	51874879	+	Gm20920	51848701	protein_coding
chrY	28200697	28226857	-	Gm20894	28226857	protein_coding
chrY	28200697	28226857	-	Gm20894	28226855	protein_coding
chrY	82236453	82262688	+	Gm21317	82236453	protein_coding
chrY	82236453	82262688	+	Gm21317	82236496	protein_coding
chrY	36664443	36690635	-	Gm20835	36690635	protein_coding
chrY	36664443	36690635	-	Gm20835	36690633	protein_coding
chrY	81469272	81495356	+	Gm20911	81469272	protein_coding
chrY	81469272	81495356	+	Gm20911	81469276	protein_coding
chrY	51121799	51148063	+	Gm21117	51121799	protein_coding
chrY	70453151	70479427	+	Gm20888	70453151	protein_coding
chrY	77704077	77730307	+	Gm21650	77704077	protein_coding
chrY	62199394	62225665	+	Gm21518	62199394	protein_coding
chrY	62199394	62225665	+	Gm21518	62199404	protein_coding
chrY	49567735	49594004	+	Gm21209	49567735	protein_coding
chrY	49567735	49594004	+	Gm21209	49567745	protein_coding
chrY	72232132	72258387	-	Gm20843	72258387	protein_coding
chrY	72232132	72258387	-	Gm20843	72258377	protein_coding
chrY	89064075	89090284	+	Gm21294	89064075	protein_coding
chrY	84108548	84134763	+	Gm21095	84108548	protein_coding
chrY	84108548	84134763	+	Gm21095	84108558	protein_coding
chrY	27451071	27477265	-	Gm21488	27477265	protein_coding
chrY	27451071	27477265	-	Gm21488	27477255	protein_coding
chrY	26705950	26732144	-	Gm20890	26732144	protein_coding
chrY	26705950	26732144	-	Gm20890	26732134	protein_coding
chrY	76772869	76798998	+	Gm21173	76772869	protein_coding
chrY	76772869	76798998	+	Gm21173	76772879	protein_coding
chrY	61655274	61681389	+	Gm21497	61655274	protein_coding
chrY	61655274	61681389	+	Gm21497	61655284	protein_coding
chrY	48861106	48887226	+	Gm28553	48861106	protein_coding
chrY	48861106	48887226	+	Gm28553	48861116	protein_coding
chrY	80145048	80171244	+	Gm21760	80145048	protein_coding
chrY	80145048	80171244	+	Gm21760	80145058	protein_coding
chrY	55728335	55754487	+	Gm21858	55728335	protein_coding
chrY	55728335	55754487	+	Gm21858	55728345	protein_coding
chrY	61110775	61142787	+	Gm57478	61110775	protein_coding
chrY	61110775	61142787	+	Gm57478	61110785	protein_coding
chrY	48316464	48348480	+	Gm20792	48316464	protein_coding
chrY	48316464	48348480	+	Gm20792	48316474	protein_coding
chrY	40246135	40272248	-	Gm21865	40272248	protein_coding
chrY	40246135	40272248	-	Gm21865	40272238	protein_coding
chrY	19113007	19139093	+	Gm35134	19113007	protein_coding
chrY	19113007	19139093	+	Gm35134	19113017	protein_coding
chrY	14400710	14426798	+	Gm30737	14400710	protein_coding
chrY	14400710	14426798	+	Gm30737	14400720	protein_coding
chrY	89724693	89756801	-	Gm21996	89756801	protein_coding
chrY	89724693	89756801	-	Gm21996	89756791	protein_coding
chrY	88064584	88090763	+	Gm28102	88064584	protein_coding
chrY	88064584	88090763	+	Gm28102	88064594	protein_coding
chrY	31558069	31590101	-	Gm28490	31590101	protein_coding
chrY	30661878	30693906	-	Gm29582	30693906	protein_coding
chrY	30661878	30693906	-	Gm29582	30693896	protein_coding
chrY	50093855	50118710	+	Gm28870	50093855	protein_coding
chrY	44187468	44219789	-	Gm21739	44219789	protein_coding
chrY	44187468	44219789	-	Gm21739	44219779	protein_coding
chrY	47455569	47487599	+	Gm21256	47455569	protein_coding
chrY	47455569	47487599	+	Gm21256	47455579	protein_coding
chrY	33466461	33498509	-	Gm20838	33498509	protein_coding
chrY	33466461	33498509	-	Gm20838	33498499	protein_coding
chrY	60249730	60281778	+	Gm28891	60249730	protein_coding
chrY	60249730	60281778	+	Gm28891	60249740	protein_coding
chrY	90412517	90444532	+	Gm20837	90412517	protein_coding
chrY	90412517	90444532	+	Gm20837	90412529	protein_coding
chrY	58791095	58823125	-	Gm21861	58823125	protein_coding
chrY	58791095	58823125	-	Gm21861	58823115	protein_coding
chrY	80938264	80964527	+	Gm28897	80938264	protein_coding
chrY	80938264	80964527	+	Gm28897	80938274	protein_coding
chrY	78224262	78250458	+	Gm29564	78224262	protein_coding
chrY	78224262	78250458	+	Gm29564	78224272	protein_coding
chrY	83042216	83068570	+	Gm28827	83042216	protein_coding
chrY	83042216	83068570	+	Gm28827	83042226	protein_coding
chrY	74481800	74508227	+	Gm29110	74481800	protein_coding
chrY	74481800	74508227	+	Gm29110	74481802	protein_coding
chrY	22020644	22046833	-	Gm31571	22046833	protein_coding
chrY	22020644	22046833	-	Gm31571	22046823	protein_coding
chrY	20967477	20993657	-	Gm29866	20993657	protein_coding
chrY	20967477	20993657	-	Gm29866	20993647	protein_coding
chrY	10750004	10752450	-	Gm20777	10752450	protein_coding
chrY	10412737	10444691	+	Gm28510	10412737	protein_coding
chrY	10533609	10536042	-	Gm20737	10536042	protein_coding
chrY	6583546	6615511	+	Gm28919	6583546	protein_coding
chrY	6680421	6682872	-	Gm21719	6682872	protein_coding
chrY	5793395	5795728	+	Gm28171	5793395	protein_coding
chrY	5942460	5945031	+	Gm21778	5942460	protein_coding
chrY	5656986	5659574	+	Gm21854	5656986	protein_coding
chrY	5725978	5728317	+	Gm20914	5725978	protein_coding
chrY	5725978	5728317	+	Gm20914	5727496	protein_coding
chrY	9344836	9347184	-	Gm21812	9347184	protein_coding
chrY	9344836	9347184	-	Gm21812	9345654	protein_coding
chrY	9413518	9416148	-	Gm21874	9416148	protein_coding
chrY	9781804	9784197	+	Gm20821	9781804	protein_coding
chrY	7165068	7169293	-	Gm21244	7169293	protein_coding
chrY	9131568	9133924	-	Gm21292	9133924	protein_coding
chrY	9199824	9202190	-	Gm21721	9202190	protein_coding
chrY	13161968	13164408	+	Gm21425	13161968	protein_coding
chrY	13494026	13496466	+	Gm20773	13494026	protein_coding
chrY	40760259	40762701	+	Gm20795	40760259	protein_coding
chrY	40760259	40762701	+	Gm20795	40761876	protein_coding
chrY	32543760	32575788	-	Gm21094	32575788	protein_coding
chrY	87128090	87154186	+	Gm21477	87128090	protein_coding
chr18	15584981	15893214	-	Chst9	15851103	protein_coding
chr18	16721934	16942303	-	Cdh2	16942303	protein_coding
chr18	16721934	16942303	-	Cdh2	16803126	protein_coding
chr18	53814795	53877680	-	Cep120	53877619	protein_coding
chr18	53814795	53877680	-	Cep120	53877680	protein_coding
chr18	53995194	54088620	+	Csnk1g3	53995194	protein_coding
chr18	53995194	54088620	+	Csnk1g3	53995260	protein_coding
chr18	53995194	54088620	+	Csnk1g3	54065316	protein_coding
chr18	20093987	20135408	-	Dsc3	20135139	protein_coding
chr18	20093987	20135408	-	Dsc3	20135012	protein_coding
chr18	20093987	20135408	-	Dsc3	20135408	protein_coding
chr18	55021120	55125627	-	Zfp608	55123238	protein_coding
chr18	56533409	56636864	+	Gramd2b	56533409	protein_coding
chr18	56533409	56636864	+	Gramd2b	56533447	protein_coding
chr18	56533409	56636864	+	Gramd2b	56565204	protein_coding
chr18	20163690	20192611	-	Dsc2	20192535	protein_coding
chr18	20163690	20192611	-	Dsc2	20192611	protein_coding
chr18	20163690	20192611	-	Dsc2	20171196	protein_coding
chr18	20217241	20247928	-	Dsc1	20247667	protein_coding
chr18	20217241	20247928	-	Dsc1	20247830	protein_coding
chr18	20217241	20247928	-	Dsc1	20247928	protein_coding
chr18	20380397	20418088	+	Dsg1c	20380397	protein_coding
chr18	20443868	20476407	+	Dsg1a	20443868	protein_coding
chr18	20509786	20543253	+	Dsg1b	20509786	protein_coding
chr18	56642759	56706023	-	Aldh7a1	56706023	protein_coding
chr18	56642759	56706023	-	Aldh7a1	56695400	protein_coding
chr18	56642759	56706023	-	Aldh7a1	56695381	protein_coding
chr18	56642759	56706023	-	Aldh7a1	56695298	protein_coding
chr18	56642759	56706023	-	Aldh7a1	56695269	protein_coding
chr18	20569232	20604878	+	Dsg4	20569232	protein_coding
chr18	56695515	56720784	+	Phax	56695515	protein_coding
chr18	56695515	56720784	+	Phax	56695665	protein_coding
chr18	56695515	56720784	+	Phax	56705894	protein_coding
chr18	56721422	56727854	+	Spmip10	56721422	protein_coding
chr18	56721422	56727854	+	Spmip10	56721451	protein_coding
chr18	56721422	56727854	+	Spmip10	56721498	protein_coding
chr18	56840885	56886496	+	Lmnb1	56840885	protein_coding
chr19	23118590	23145498	+	Klf9	23118590	protein_coding
chr18	56894788	57058620	-	Marchf3	57058620	protein_coding
chr18	56894788	57058620	-	Marchf3	56945091	protein_coding
chr19	56275569	56309254	+	Habp2	56275569	protein_coding
chr19	56275569	56309254	+	Habp2	56276354	protein_coding
chr19	56275569	56309254	+	Habp2	56276428	protein_coding
chr19	56275569	56309254	+	Habp2	56300246	protein_coding
chr18	20643331	20680516	+	Dsg3	20643331	protein_coding
chr18	20643331	20680516	+	Dsg3	20643340	protein_coding
chr18	57088905	57108440	-	C330018D20Rik	57108440	protein_coding
chr18	57088905	57108440	-	C330018D20Rik	57108426	protein_coding
chr19	23183815	23251261	-	Smc5	23251182	protein_coding
chr19	23183815	23251261	-	Smc5	23251261	protein_coding
chr19	23183815	23251261	-	Smc5	23249963	protein_coding
chr18	20691131	20737578	+	Dsg2	20691131	protein_coding
chr18	20691131	20737578	+	Dsg2	20691212	protein_coding
chr18	20691131	20737578	+	Dsg2	20691303	protein_coding
chr18	20798337	20807378	+	Ttr	20798337	protein_coding
chr18	20817656	20879461	-	B4galt6	20879461	protein_coding
chr18	57266162	57430539	+	Megf10	57266162	protein_coding
chr18	57266162	57430539	+	Megf10	57275858	protein_coding
chr19	23279973	23425806	-	Mamdc2	23425762	protein_coding
chr18	20950280	21029150	-	Trappc8	21029150	protein_coding
chr18	20950280	21029150	-	Trappc8	21029135	protein_coding
chr18	20950280	21029150	-	Trappc8	20995980	protein_coding
chr19	23536117	23630176	-	Cfap95	23630176	protein_coding
chr19	23664793	23709032	+	Ptar1	23664793	protein_coding
chr19	23664793	23709032	+	Ptar1	23664828	protein_coding
chr19	23664793	23709032	+	Ptar1	23665108	protein_coding
chr19	23664793	23709032	+	Ptar1	23700643	protein_coding
chr19	23736251	23926960	+	Apba1	23736251	protein_coding
chr19	23736251	23926960	+	Apba1	23881821	protein_coding
chr18	21077682	21116919	+	Rnf125	21077682	protein_coding
chr18	21077682	21116919	+	Rnf125	21094529	protein_coding
chr18	21134398	21161281	+	Rnf138	21134398	protein_coding
chr18	21134398	21161281	+	Rnf138	21134965	protein_coding
chr18	21134398	21161281	+	Rnf138	21135048	protein_coding
chr18	21134398	21161281	+	Rnf138	21135152	protein_coding
chr19	23950114	24008383	-	Entrep1	24008383	protein_coding
chr19	24071869	24202394	-	Tjp2	24151553	protein_coding
chr19	24071869	24202394	-	Tjp2	24178014	protein_coding
chr19	24071869	24202394	-	Tjp2	24202394	protein_coding
chr19	24071869	24202394	-	Tjp2	24120446	protein_coding
chr19	24071869	24202394	-	Tjp2	24150500	protein_coding
chr19	24071869	24202394	-	Tjp2	24202390	protein_coding
chr18	21194980	21233256	+	Mep1b	21194980	protein_coding
chr18	21194980	21233256	+	Mep1b	21205401	protein_coding
chr18	21260258	21433195	-	Garem1	21433195	protein_coding
chr18	21260258	21433195	-	Garem1	21433180	protein_coding
chr18	58141695	58343559	-	Fbn2	58343559	protein_coding
chr19	24238817	24257969	-	Fxn	24257969	protein_coding
chr19	24272158	24533236	-	Pip5k1b	24533236	protein_coding
chr19	24272158	24533236	-	Pip5k1b	24533206	protein_coding
chr18	21683434	21787775	-	Klhl14	21787775	protein_coding
chr18	21683434	21787775	-	Klhl14	21785425	protein_coding
chr19	24453866	24454720	-	Pabir1	24454720	protein_coding
chr19	24651372	24659597	+	Tmem252	24651372	protein_coding
chr19	24660380	24839219	-	Pgm5	24839219	protein_coding
chr18	58689329	58745845	+	Slc27a6	58689329	protein_coding
chr18	58792538	58813440	+	Isoc1	58792538	protein_coding
chr18	58792538	58813440	+	Isoc1	58792552	protein_coding
chr19	24853050	24853995	+	Gm10053	24853050	protein_coding
chr19	24876600	24878561	-	Foxd4	24878561	protein_coding
chr18	58969739	59187132	+	Adamts19	58969739	protein_coding
chr19	56308467	56378469	-	Nrap	56378443	protein_coding
chr19	56308467	56378469	-	Nrap	56378469	protein_coding
chr19	56308467	56378469	-	Nrap	56378467	protein_coding
chr19	56308467	56378469	-	Nrap	56378309	protein_coding
chr18	21943950	22304499	-	Ccdc178	22304499	protein_coding
chr18	21943950	22304499	-	Ccdc178	22304453	protein_coding
chr18	21943950	22304499	-	Ccdc178	22304435	protein_coding
chr18	21943950	22304499	-	Ccdc178	22299533	protein_coding
chrX	70707273	70712863	+	Gpr50	70707273	protein_coding
chrX	29725433	29748281	+	Gm10488	29725433	protein_coding
chr18	59195320	59210034	+	Minar2	59195354	protein_coding
chr18	59195320	59210034	+	Minar2	59195534	protein_coding
chr18	59195320	59210034	+	Minar2	59195538	protein_coding
chr18	59195320	59210034	+	Minar2	59195566	protein_coding
chr18	59195320	59210034	+	Minar2	59195583	protein_coding
chrX	70859530	70883363	+	Vma21	70860364	protein_coding
chrX	70859530	70883363	+	Vma21	70859530	protein_coding
chrX	70859530	70883363	+	Vma21	70860396	protein_coding
chr12	14196831	14202055	-	Lratd1	14202055	protein_coding
chr12	14196831	14202055	-	Lratd1	14201350	protein_coding
chrX	30078891	30101764	+	Gm14632	30078891	protein_coding
chrX	30078891	30101764	+	Gm14632	30080456	protein_coding
chr18	59308473	59669071	+	Chsy3	59308722	protein_coding
chr12	15841728	15866923	-	Trib2	15866786	protein_coding
chr12	15841728	15866923	-	Trib2	15866923	protein_coding
chr12	15841728	15866923	-	Trib2	15866891	protein_coding
chr18	60345152	60380892	+	Iigp1c	60345152	protein_coding
chr18	60401377	60406344	-	Gm4841	60406344	protein_coding
chrX	145745509	145980273	+	Htr2c	145745509	protein_coding
chrX	145745509	145980273	+	Htr2c	145745510	protein_coding
chrX	145745509	145980273	+	Htr2c	145746019	protein_coding
chr18	22826238	23174710	-	Nol4	22983811	protein_coding
chr18	22826238	23174710	-	Nol4	23171713	protein_coding
chr18	22826238	23174710	-	Nol4	23174710	protein_coding
chr18	22826238	23174710	-	Nol4	23173135	protein_coding
chr18	22826238	23174710	-	Nol4	23173401	protein_coding
chr18	22826238	23174710	-	Nol4	23171996	protein_coding
chr12	84687793	84698229	+	Vrtn	84687793	protein_coding
chr12	84687793	84698229	+	Vrtn	84689329	protein_coding
chr12	84687793	84698229	+	Vrtn	84689670	protein_coding
chr12	84724051	84745605	-	Syndig1l	84745605	protein_coding
chr12	84724051	84745605	-	Syndig1l	84745528	protein_coding
chr12	84724051	84745605	-	Syndig1l	84745388	protein_coding
chr16	89002749	89003282	+	Krtap20-2	89002749	protein_coding
chr16	89200106	89200756	-	Krtap21-1	89200756	protein_coding
chrX	103000769	103024890	-	Rlim	103024890	protein_coding
chr16	89216214	89216999	-	Krtap6-2	89216999	protein_coding
chr12	52144520	52359527	+	Nubpl	52144520	protein_coding
chr16	13799563	13804752	-	Ifitm7	13804719	protein_coding
chr16	13799563	13804752	-	Ifitm7	13802485	protein_coding
chr16	89284267	89284840	-	Krtap8-1	89284840	protein_coding
chr16	89304591	89305211	-	Krtap7-1	89305211	protein_coding
chr16	89367064	89368071	-	Krtap11-1	89368071	protein_coding
chr16	13804468	13919364	+	Bmerb1	13804468	protein_coding
chr16	13804468	13919364	+	Bmerb1	13804521	protein_coding
chr16	13804468	13919364	+	Bmerb1	13804538	protein_coding
chr12	84801336	84819926	-	Npc2	84819926	protein_coding
chrX	70964553	70984476	+	Pasd1	70964553	protein_coding
chrX	70964553	70984476	+	Pasd1	70976044	protein_coding
chr18	60693808	60705882	+	Rbm22	60693808	protein_coding
chr16	37467532	37474815	-	Ndufb4	37474815	protein_coding
chr12	84820025	84821862	+	Isca2	84820025	protein_coding
chr12	84820025	84821862	+	Isca2	84820052	protein_coding
chr12	84820025	84821862	+	Isca2	84820079	protein_coding
chr12	84820025	84821862	+	Isca2	84820099	protein_coding
chr16	13927037	13981215	-	Marf1	13977131	protein_coding
chr16	13927037	13981215	-	Marf1	13981215	protein_coding
chrX	30519661	30542588	-	Gm10487	30542588	protein_coding
chrX	30519661	30542588	-	Gm10487	30540953	protein_coding
chr12	52550755	52618758	+	Arhgap5	52550799	protein_coding
chr12	52550755	52618758	+	Arhgap5	52551125	protein_coding
chr12	52550755	52618758	+	Arhgap5	52562860	protein_coding
chrX	71006230	71016328	+	Prrg3	71006230	protein_coding
chrX	71006230	71016328	+	Prrg3	71006588	protein_coding
chrX	71006230	71016328	+	Prrg3	71006231	protein_coding
chr18	23548192	23792772	+	Dtna	23548192	protein_coding
chr18	23548192	23792772	+	Dtna	23548499	protein_coding
chr18	23548192	23792772	+	Dtna	23548534	protein_coding
chr18	23548192	23792772	+	Dtna	23548547	protein_coding
chr18	23548192	23792772	+	Dtna	23548567	protein_coding
chr18	23548192	23792772	+	Dtna	23784625	protein_coding
chr12	52746166	53202382	+	Akap6	52746166	protein_coding
chr12	52746166	53202382	+	Akap6	52842619	protein_coding
chrX	103121040	103244791	-	Nexmif	103244791	protein_coding
chrX	103121040	103244791	-	Nexmif	103244750	protein_coding
chrX	103121040	103244791	-	Nexmif	103244723	protein_coding
chrX	71016592	71032652	+	Fate1	71016592	protein_coding
chrX	71016592	71032652	+	Fate1	71025128	protein_coding
chr16	37597235	37656876	+	Fstl1	37597235	protein_coding
chrX	146166472	146212188	-	Il13ra2	146212188	protein_coding
chrX	146166472	146212188	-	Il13ra2	146186828	protein_coding
chr19	24897280	24938974	-	Zng1	24938965	protein_coding
chr12	53294940	54118958	+	Npas3	53294940	protein_coding
chr12	53294940	54118958	+	Npas3	53295460	protein_coding
chr12	53294940	54118958	+	Npas3	53299808	protein_coding
chr12	53294940	54118958	+	Npas3	53299829	protein_coding
chr16	37671275	37681508	-	Btnl12	37681508	protein_coding
chr16	37688751	37709220	+	Lrrc58	37688751	protein_coding
chr16	37736858	37827892	+	Gpr156	37736858	protein_coding
chrX	71035455	71053824	+	Cnga2	71035455	protein_coding
